page_number;article;product_name;brand_name;request_name
59;76050649;Велосипедки;ТД Елена;велосипедки
59;76104087;Велосипедки;ТД Елена;велосипедки
1;76104087;Велосипедки;ТД Елена;СпортивныеВелосипедки
1;76104086;Велосипедки;ТД Елена;СпортивныеВелосипедки
29;76050649;Велосипедки;ТД Елена;СпортивныеВелосипедки
36;76050648;Велосипедки;ТД Елена;СпортивныеВелосипедки
26;76050649;Велосипедки;ТД Елена;ВелосипедкиЖенскиеЧерные
27;76104087;Велосипедки;ТД Елена;ВелосипедкиЖенскиеЧерные
27;76104086;Велосипедки;ТД Елена;ВелосипедкиЖенскиеЧерные
30;76050648;Велосипедки;ТД Елена;ВелосипедкиЖенскиеЧерные
52;76050649;Велосипедки;ТД Елена;ВелосипедкиЖенские
52;76104087;Велосипедки;ТД Елена;ВелосипедкиЖенские
57;76104086;Велосипедки;ТД Елена;ВелосипедкиЖенские
57;76050648;Велосипедки;ТД Елена;ВелосипедкиЖенские
8;76648797;Топ спортивный;ТД Елена;ТопСпортивный
9;76721025;Топ спортивный;ТД Елена;ТопСпортивный
9;76693001;Топ спортивный;ТД Елена;ТопСпортивный
11;76721026;Топ спортивный;ТД Елена;ТопСпортивный
11;76648798;Топ спортивный;ТД Елена;ТопСпортивный
12;76693000;Топ спортивный;ТД Елена;ТопСпортивный
28;75404609;Топ;ТД Елена;ТопЖенскийБелыйИзХлопка
32;74734631;Брюки;ТД Елена;БрюкиЖенскиеБежевые
12;74506300;Футболка;ТД Елена;УкороченнаяЖенскаяФутболкаИзХлопка
46;9196652;Пижама;ТД Елена;ПижамыЖенскиеСШортами
58;15625676;Пижама;ТД Елена;ПижамыЖенскиеСШортами
46;9196652;Пижама;ТД Елена;ПижамаЖенскиеСШортами
58;15625676;Пижама;ТД Елена;ПижамаЖенскиеСШортами
4;9794232;Пижама;ТД Елена;ПижамаЖенскаяСШортамиГолубая
10;35176788;Пижама;ТД Елена;ПижамаЖенскаяСШортамиГолубая
3;8989326;Толстовка;ТД Елена;ТолстовкаЖенскаяБезКапюшона
2;40405169;Толстовка;ТД Елена;ХудиЖенскоеОверсайзСиреневое
1;42956434;Толстовка;ТД Елена;ТолстовкаЖенскаяСКапюшономРозовая
